30  239  
1  2   4 
1  5   4 
1  8   7 
1  16   18 
1  21   10 
1  22   9 
2  1   4 
2  6   20 
2  8   9 
2  15   17 
2  21   13 
2  26   8 
3  1   18 
3  2   16 
3  5   10 
3  12   17 
3  19   18 
3  21   9 
3  22   7 
3  23   12 
3  28   19 
3  29   15 
3  30   8 
4  6   15 
4  13   20 
4  16   11 
4  20   11 
4  22   7 
4  25   2 
5  1   4 
5  18   2 
5  19   10 
5  21   1 
5  23   19 
5  24   13 
5  25   1 
5  28   1 
5  29   5 
6  5   10 
6  8   3 
6  15   1 
6  21   15 
7  8   8 
7  9   16 
7  11   9 
7  17   9 
7  20   1 
7  25   1 
7  26   2 
8  7   12 
8  10   5 
8  14   17 
8  19   18 
8  21   20 
8  24   10 
8  27   5 
8  28   5 
9  2   11 
9  3   16 
9  4   7 
9  11   10 
9  15   13 
9  17   19 
9  19   4 
9  22   15 
9  23   12 
9  24   9 
9  26   18 
9  27   8 
9  28   4 
10  3   13 
10  12   13 
10  13   7 
10  14   17 
10  19   20 
10  24   20 
10  25   3 
10  27   5 
11  1   1 
11  3   13 
11  6   3 
11  8   9 
11  10   18 
11  13   11 
11  15   8 
11  19   5 
11  21   9 
11  23   20 
11  25   3 
12  5   10 
12  6   18 
12  8   1 
12  10   14 
12  23   20 
12  30   6 
13  1   3 
13  6   14 
13  8   19 
13  12   13 
13  15   18 
13  21   4 
13  23   16 
13  26   7 
13  28   9 
13  29   4 
13  30   17 
14  2   13 
14  4   15 
14  6   17 
14  22   2 
14  23   20 
14  24   10 
14  26   16 
14  28   15 
15  3   17 
15  6   4 
15  8   10 
15  9   13 
15  21   19 
15  24   17 
15  25   18 
15  26   12 
15  27   12 
16  11   18 
16  13   1 
16  21   18 
16  22   9 
16  25   1 
16  29   15 
17  2   4 
17  7   3 
17  8   13 
17  10   6 
17  11   7 
17  16   9 
17  19   9 
17  21   8 
17  24   13 
18  1   4 
18  2   4 
18  4   2 
18  7   7 
18  8   16 
18  12   5 
18  16   15 
18  17   14 
18  21   17 
19  4   17 
19  16   6 
19  20   7 
19  21   11 
19  23   7 
19  25   17 
19  27   17 
19  29   12 
20  2   6 
20  3   14 
20  10   5 
20  11   10 
20  16   8 
20  21   11 
20  26   20 
20  27   16 
21  2   20 
21  4   5 
21  5   11 
21  12   2 
21  18   16 
21  19   13 
21  23   18 
21  24   20 
21  25   19 
22  3   9 
22  5   1 
22  8   11 
22  11   5 
22  21   5 
22  23   7 
22  30   2 
23  1   15 
23  3   15 
23  7   11 
23  10   7 
23  11   17 
23  14   12 
23  16   20 
23  19   18 
23  20   8 
23  25   11 
23  29   7 
24  5   13 
24  8   16 
24  11   15 
24  27   3 
24  30   17 
25  10   1 
25  13   9 
25  16   15 
25  17   16 
25  18   8 
25  24   15 
25  26   18 
26  2   5 
26  11   3 
26  16   5 
26  18   8 
26  21   6 
26  25   19 
26  27   2 
26  28   12 
26  30   4 
27  4   17 
27  5   4 
27  6   11 
27  7   20 
27  10   8 
27  15   1 
28  6   5 
28  8   8 
28  11   7 
28  18   5 
28  23   19 
28  26   14 
28  27   20 
29  4   9 
29  5   19 
29  12   1 
29  14   13 
29  19   17 
29  25   5 
29  30   19 
30  2   16 
30  8   17 
30  11   12 
30  18   16 
30  19   7 
30  21   5 
30  22   7 
30  28   12 
