30000  210000
1  16808  50
1  10074  59
1  28931  73
1  17545  79
1  27924  10
1  4441  66
1  24493  43
2  27988  4
2  22328  30
2  28841  13
2  24304  70
2  17710  58
2  29561  34
2  3100  79
3  11817  36
3  9098  27
3  3513  68
3  23811  34
3  980  50
3  6580  22
3  21968  73
4  1394  37
4  15486  46
4  5229  92
4  10195  58
4  25002  54
4  16709  45
4  5669  91
5  8125  97
5  19531  4
5  17723  67
5  18550  25
5  17802  54
5  10978  9
5  18229  34
6  299  82
6  8636  14
6  23866  15
6  29064  37
6  9426  70
6  14116  95
6  25630  2
7  16518  96
7  106  5
7  29452  99
7  22189  24
7  19506  83
7  16753  67
7  26717  38
8  14439  45
8  21502  98
8  13872  29
8  21138  59
8  13178  98
8  12295  5
8  11610  32
9  19746  76
9  13636  99
9  18143  100
9  27969  13
9  10261  58
9  21595  9
9  26396  69
10  9114  31
10  1007  63
10  7943  66
10  12083  53
10  20768  22
10  25696  13
10  13672  2
11  18591  32
11  14739  58
11  21617  91
11  25641  80
11  27336  7
11  17973  99
11  19096  20
12  23455  24
12  12290  61
12  8906  27
12  6124  7
12  5814  71
12  5239  95
12  26221  45
13  22367  35
13  25227  95
13  1364  39
13  27845  91
13  16551  60
13  8624  48
13  27386  18
14  15273  40
14  19248  86
14  3497  86
14  20624  21
14  8145  69
14  25736  16
14  11626  35
15  16043  12
15  14680  53
15  5245  96
15  18819  97
15  7693  16
15  12992  34
15  2670  98
16  29554  48
16  5826  11
16  9663  12
16  23809  78
16  2762  26
16  17336  69
16  27996  77
17  22768  40
17  9875  32
17  20557  2
17  8873  61
17  10095  85
17  3756  90
17  11408  16
18  194  70
18  15681  56
18  6856  7
18  964  3
18  16677  9
18  3250  32
18  17845  39
19  20809  98
19  18652  50
19  25204  32
19  6532  15
19  15420  76
19  2010  81
19  17930  24
20  4055  61
20  16738  46
20  7318  26
20  24201  57
20  11565  98
20  6649  5
20  25551  51
21  21977  13
21  8555  98
21  2505  82
21  24749  66
21  29379  100
21  28210  30
21  8554  84
22  20448  8
22  774  23
22  4306  77
22  54  25
22  4631  67
22  5401  45
22  25371  86
23  3017  99
23  28156  34
23  15558  77
23  13179  67
23  17358  12
23  27879  15
23  24820  38
24  13134  92
24  13721  63
24  16634  98
24  26032  89
24  20590  74
24  8878  5
24  29359  1
25  17255  61
25  4916  48
25  5481  31
25  29956  47
25  17108  39
25  1  27
25  5036  58
26  21114  15
26  9594  61
26  18355  19
26  15358  86
26  3730  16
26  6564  3
26  20918  44
27  29420  68
27  27748  70
27  25396  4
27  4474  4
27  11749  86
27  25659  60
27  5407  31
28  9825  33
28  20974  4
28  6898  21
28  13951  32
28  28481  4
28  23901  21
28  22534  59
29  17004  77
29  20951  35
29  8781  80
29  1833  75
29  13550  43
29  26250  72
29  26311  80
30  20984  71
30  2041  24
30  3651  72
30  23230  19
30  7747  100
30  7231  22
30  777  25
31  8245  59
31  27697  72
31  29065  61
31  16599  52
31  19941  4
31  19552  2
31  7206  81
32  419  75
32  19650  14
32  3321  26
32  2013  84
32  14789  18
32  14009  51
32  15325  96
33  11258  12
33  15691  67
33  12411  94
33  20554  66
33  20961  43
33  1404  53
33  7308  42
34  4911  1
34  22800  28
34  20172  88
34  14415  26
34  6642  18
34  5349  43
34  24316  75
35  1446  74
35  22221  12
35  9240  55
35  11306  30
35  12254  90
35  15167  57
35  9305  61
36  5899  93
36  21721  17
36  21581  68
36  29353  40
36  18699  2
36  20812  17
36  26892  72
37  11729  72
37  1662  46
37  3121  41
37  27159  54
37  29628  51
37  13712  64
37  19595  34
38  21728  28
38  8796  32
38  27443  17
38  5007  16
38  6925  2
38  27098  62
38  27104  25
39  109  37
39  22282  16
39  23711  17
39  21906  74
39  27782  21
39  10792  70
39  7866  28
40  19537  29
40  27126  85
40  168  50
40  477  47
40  21577  67
40  7468  21
40  7385  92
41  15211  59
41  8212  45
41  29519  19
41  21935  26
41  768  90
41  9819  15
41  21826  19
42  18029  30
42  8035  28
42  21241  55
42  16541  97
42  10936  84
42  8049  66
42  17012  53
43  23065  77
43  7238  76
43  20246  11
43  20416  93
43  24711  48
43  13038  100
43  18448  16
44  21694  80
44  27130  65
44  3980  2
44  5526  90
44  24959  34
44  1801  90
44  7671  18
45  20847  39
45  29544  39
45  5937  22
45  27720  97
45  1248  89
45  8360  88
45  25036  36
46  23913  85
46  25990  85
46  13735  68
46  10520  16
46  17046  77
46  26662  26
46  2820  32
47  12904  99
47  16799  40
47  4005  4
47  10680  66
47  7392  8
47  14925  66
47  7122  55
48  17107  51
48  21704  33
48  1033  42
48  1655  78
48  12218  1
48  7290  66
48  4748  23
49  19880  18
49  21517  49
49  22763  30
49  9040  9
49  5904  58
49  10762  53
49  21467  22
50  14558  97
50  6956  31
50  1495  56
50  2222  13
50  2294  28
50  22233  45
50  14792  99
51  9153  57
51  13571  4
51  7440  15
51  15800  67
51  1836  22
51  26044  53
51  14087  20
52  29151  11
52  28624  70
52  29606  44
52  27312  32
52  17993  17
52  28700  72
52  20640  71
53  5837  92
53  12858  34
53  3329  78
53  4411  84
53  25177  90
53  2092  35
53  14712  5
54  1027  92
54  20791  23
54  9365  91
54  14885  14
54  21442  28
54  16180  85
54  14538  71
55  17562  82
55  14166  3
55  7733  33
55  27855  60
55  29848  78
55  20463  11
55  13820  51
56  13378  42
56  3837  21
56  12300  13
56  4760  57
56  4391  53
56  49  15
56  29045  19
57  151  2
57  1296  22
57  25732  2
57  28246  62
57  6058  11
57  23929  6
